question,answer,abs_id,Inquiry Type,Extra Condition,Investigation Target,biocategory,biosubcategory
"In the context of heparan sulfate (HS) and heparin (Hep) synthesis, can the EXTL3 enzyme utilize N-acetylheparosan oligosaccharides, which represent growing HS chains, as an acceptor for its alpha-GlcNAc transferase activity?",Yes,PMID:11390981,Normal,Natural,Interaction,Metabolism,Glycan biosynthesis and metabolism
"In renal Ca(2+)-transporting epithelial cells expressing the transient receptor potential vanilloid 5 (TRPV5) channel, does tissue kallikrein (TK) increase the amount of TRPV5 S299A and S654A mutant channels at the plasma membrane?",No,PMID:17006539,Normal,Natural,Single,Organismal Systems,Excretory system
"In Saccharomyces cerevisiae, does the thiazole synthase enzyme facilitate thiazole formation through an oxidative condensation reaction involving glycine, deoxy-D-xylulose 5-phosphate, and a protein thiocarboxylate?",No,PMID:22616866,Normal,Natural,Single,Metabolism,Metabolism of cofactors and vitamins
"In the context of small cell lung carcinoma (SCLC) cell proliferation, can the selective engagement of the c-jun N-terminal kinase pathway, in the absence of parallel activation of the Gq/11/PLCbeta/Ras/extracellular signal-regulated kinase pathway, promote cell growth?",No,PMID:17158754,Normal,Natural,Function,,
"In the context of hepatitis B surface antigen (HBsAg) exposure, does the presence of HBsAg impair the phosphorylation of c-Jun in PMA-differentiated THP-1 macrophages stimulated with the TLR2 ligand Pam3csk4?",Yes,PMID:23585678,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of CXCR4-mediated cell migration induced by the CXC chemokine stromal cell-derived factor-1alpha (SDF-1), is the functional activity of both Galpha(13) and Rho necessary for directional cell migration to occur in response to SDF-1 stimulation?",Yes,PMID:17056591,Normal,Natural,Function,Metabolism,Biosynthesis of other secondary metabolites
"In the context of Enterohemorrhagic E. coli (EHEC) infection, does the T3SS effector NleF disrupt the heterodimerization process between caspase-4-p19 and caspase-4-p10 subunits?",Yes,PMID:28593173,Normal,Natural,Interaction,Human Diseases,Infectious disease: bacterial
"In the context of HIV-1 restriction, does the rhesus APOBEC3B protein have a significant impact on the replication of HIV-1 when stably expressed in T cells?",No,PMID:21835787,Normal,Natural,Function,Human Diseases,Infectious disease: viral
"In the context of bacterial phosphatidylcholine (PC) biosynthesis, does Brucella melitensis possess the enzymatic capability to produce PC through the methylation pathway, which involves the methylation of phosphatidylethanolamine by phospholipid N-methyltransferases (PMTs)?",No,PMID:14663079,Normal,Natural,Single,Metabolism,Lipid metabolism
"In HEK293T cells stably transfected with relaxin family peptide receptor 1 (RXFP1), is the delayed cAMP signaling pathway dependent upon G-betagamma subunits derived from the inhibitory G protein alpha subunit 3 (Galphai3)?",Yes,PMID:16569707,Normal,Natural,Function,Organismal Systems,Endocrine system
"In the context of hepatitis B virus infection, does the hepatitis B e antigen (HBeAg) protein suppress the Toll/IL-1 receptor (TIR)-mediated activation of the nuclear factor kappa-light-chain-enhancer of activated B cells (NF-kappaB) inflammatory transcription factor?",Yes,PMID:21334391,Normal,Natural,Single,Metabolism,Glycan biosynthesis and metabolism
"In the context of hepatitis B virus (HBV) infection, does the terminal protein (TP) domain of the HBV polymerase protein play a crucial role in inhibiting the interferon (IFN)-induced myeloid differential primary response protein (MyD88) promoter activity?",Yes,PMID:18024894,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of Respiratory syncytial virus (RSV) infection, does the nonstructural protein NS1 induce the upregulation of both suppressor of cytokine signaling 1 (SOCS1) and suppressor of cytokine signaling 3 (SOCS3) proteins?",Yes,PMID:26557722,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In cells co-expressing the human cytomegalovirus (HCMV) US27 gene product and the endogenous human chemokine receptor CXCR4, does the presence of US27 lead to a decrease in CXCR4 receptor levels as detected through immunofluorescence microscopy?",No,PMID:23490053,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the biosynthesis of oxytetracycline 1, does the enzyme OxyS have the capability to catalyze the reduction of the C5a-C11a bond in the precursor molecule anhydrotetracycline 3?",No,PMID:23621493,Normal,Natural,Function,Metabolism,Metabolism of terpenoids and polyketides
"In the context of Salmonella enterica infection, does the SPI-2 T3SS effector SpvD facilitate the activation of an NF-kB-dependent promoter within host cells?",No,PMID:27232334,Normal,Natural,Single,Human Diseases,Infectious disease: bacterial
"In the context of adult T-cell leukemia (ATL) cells, is the expression of the HTLV-I transforming protein Tax a necessary prerequisite for the activation of the NF-kappaB signaling pathway?",No,PMID:16155602,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In yeast vti1 temperature-sensitive mutants, can the Arabidopsis homologue AtVTI1b functionally substitute for the yeast v-SNARE Vti1p in facilitating Golgi-to-prevacuolar compartment (PVC) transport?",No,PMID:10397763,Normal,Natural,Function,Genetic Information Processing,"Folding, sorting and degradation"
"In the context of complement system activation, is the dissociation of the complex formed by C3b and the protease fragment Bb a reversible process?",No,PMID:19503103,Normal,Natural,Interaction,Human Diseases,Infectious disease: bacterial
"In the context of cortical neuron development, does phosphatidylinositol 3-kinase (PI3K) facilitate radial migration of cortical neurons through the intermediate zone in a manner that is independent of both the extracellular matrix protein Reelin and the protein kinase Akt?",Yes,PMID:17698586,Normal,Natural,Function,,
"In the context of viral infection and immune cell function, does the HHV-8 K15 protein lead to an increase in cytosolic calcium levels within immune cells?",No,PMID:17059849,Normal,Natural,Function,Human Diseases,Infectious disease: viral
"In the context of Human Papillomavirus (HPV) E7 protein interactions, does the binding of E7 to the subunit 4 (S4) ATPase of the 26 S proteasome result in an increase in the ATPase activity of S4?",Yes,PMID:9374493,Normal,Natural,Single,Human Diseases,Cancer: overview
"In the context of polycystic kidney disease 2-like-1 (PKD2L1) channel function and oligomerization, can the C-terminal C1 domain (K575-T622) act as a blocking peptide to inhibit PKD2L1 trimerization and subsequently disrupt channel function?",Yes,PMID:25820328,Normal,Natural,Interaction,Organismal Systems,Sensory system
"In dopamine neurons from ovariectomized female guinea pigs, does 17beta-estradiol (E2) rapidly reduce the coupling between mu-opioid receptors and G protein-gated inwardly rectifying K+ (GIRK) channels, as measured through whole-cell patch recording in hypothalamic slices?",Yes,PMID:15862823,Normal,Natural,Interaction,Organismal Systems,Endocrine system
"In the context of prolactin (PRL) signaling mechanisms, is the tyrosine kinase Jak2 necessary for the activation of estrogen receptor alpha (Esr1) promoter activity in response to PRL stimulation?",Yes,PMID:12670737,Normal,Natural,Single,Organismal Systems,Endocrine system
"In the context of human keratinocytes, does the expression of c-jun lead to an increase in the levels of p21 RNA and protein?",No,PMID:8892872,Normal,Natural,Single,Metabolism,Xenobiotics biodegradation and metabolism
"In the context of human cytomegalovirus (HCMV) infection, does the expression of the immediate-early protein IE86 inhibit tumor necrosis factor alpha (TNF-alpha)-induced nuclear factor kappa B (NFkappaB) DNA binding activity?",Yes,PMID:17041226,Normal,Natural,Interaction,Human Diseases,Infectious disease: viral
"In the context of Kaposi's sarcoma-associated herpesvirus (KSHV) infection, does the zinc finger membrane protein K5 significantly downregulate the expression of HLA-E major histocompatibility complex (MHC) class I molecules on the cell surface?",No,PMID:10799607,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of heterotrimeric G protein G(q) signaling, do the activations of mitogen-activated protein kinase kinase 3 (MKK3) and MKK6 by the alpha subunit of G(q) (Galpha(q)) require the involvement of phospholipase C and the Src family tyrosine kinase c-Src?",Yes,PMID:11304531,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of enterohaemorrhagic Escherichia coli infection, does the type III secretion system WxxxE effector EspM2 possess the ability to induce nucleotide exchange in the H-Ras GTPase?",No,PMID:20039879,Normal,Natural,Interaction,Human Diseases,Infectious disease: bacterial
"In patient fibroblasts with identified mutations in the LIPT1 gene, is the PDH E2 subunit expressed as detected by anti-lipoic acid antibodies?",No,PMID:24341803,Normal,Natural,Single,Metabolism,Metabolism of cofactors and vitamins
"In the context of autophagy-mediated turnover in Arabidopsis thaliana, is the ATG11 protein required for the synthesis of the ATG12-ATG5 adducts that play a central role in the assembly of autophagic vesicles?",No,PMID:24563201,Normal,Natural,Interaction,Cellular Processes,Transport and catabolism
"In the context of Kaposi's sarcoma-associated herpesvirus (KSHV) infection, does the activation of phosphatidylinositol-3'-OH-kinase (PI3K) by the KSHV K1 protein lead to the inactivation of the proapoptotic protein Bad in primary human umbilical vein endothelial cells?",Yes,PMID:16585191,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of synaptic modulation, do metabotropic GABAB receptors function to increase the Ca2+ signals in postsynaptic spines, specifically through their interaction with NMDA receptors?",No,PMID:21376567,Normal,Natural,Function,Organismal Systems,Nervous system
"In the context of cellular signaling pathways, does X-linked inhibitor of apoptosis protein (XIAP) induce lysine-48-linked polyubiquitylation of the proapoptotic protein Siva1?",Yes,PMID:19584092,Normal,Natural,Single,Cellular Processes,Cell growth and death
"In the context of regulating T(H)17 cell lineage development, does the interaction between the transcription factors T-bet and Runx1 inhibit Runx1-mediated transactivation of the Rorc gene, which encodes the transcription factor RORgammat?",Yes,PMID:21151104,Normal,Natural,Interaction,Organismal Systems,Immune system
"In the context of macrophage foam cell formation, does the polyphenol-rich fraction (PHC) derived from commonly consumed spices and herbs lead to a suppression of matrix metalloproteinase-2 (MMP2) protein expression in macrophages?",Yes,PMID:25869517,Normal,Natural,Single,Human Diseases,Cardiovascular disease
"In the context of carotenoid biosynthesis, does the protein encoded by the slr0088 open reading frame in Synechocystis sp. PCC 6803 exhibit desaturase activity when utilizing hydroxyneurosporene as a substrate?",No,PMID:9092504,Normal,Natural,Single,Metabolism,Metabolism of terpenoids and polyketides
"In the context of Yersinia pestis infection, does the direct binding of the leucine-rich repeat effector YopM to caspase-1 prevent the formation of the mature inflammasome complex?",Yes,PMID:23245324,Normal,Natural,Function,Human Diseases,Infectious disease: bacterial
"In human gastric carcinoma, is there a correlation between decreased expression of the cyclin-dependent kinase inhibitor p27Kip1 (p27) and advanced stage of the disease, when considering factors such as tumour size, histological grade, lymphatic invasion, and lymph node metastasis?",Yes,PMID:10692028,Normal,Natural,Function,Metabolism,Biosynthesis of other secondary metabolites
"In the context of irradiated MCF10A cells treated with progesterone, does the activation of the PI3K/Akt pathway via membrane progesterone receptor (mPR) lead to the inactivation of FOXO transcriptional activity?",Yes,PMID:25819032,Normal,Natural,Single,Human Diseases,Cancer: overview
"In the context of measles virus (MV) infection, does the V protein specifically bind to the Rel homology domain of the NF-kappaB subunit p50?",No,PMID:21270162,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of Shigella infection, does the IpaH4.5-induced polyubiquitylation and subsequent proteasome-dependent degradation of TANK-binding kinase 1 (TBK1) disrupt the nuclear translocation of interferon regulatory factor 3 (IRF3)?",Yes,PMID:26700764,Normal,Natural,Single,Human Diseases,Infectious disease: bacterial
"In the context of Kaposi's sarcoma-associated herpesvirus (KSHV) infection, does the zinc finger membrane protein K3 induce the downregulation of HLA-E molecules from the cell surface?",Yes,PMID:10799607,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of Salmonella enterica infection, does the binding of the type 3 secreted effector SopD2 to the host regulatory GTPase Rab7 result in the inhibition of Rab7's nucleotide exchange activity?",Yes,PMID:26299973,Normal,Natural,Single,Human Diseases,Infectious disease: bacterial
"In cellular processes, is mitochondrial fission independent of the mechanisms and pathways that lead to apoptotic cell death?",No,PMID:18304445,Normal,Natural,Function,Cellular Processes,Cell growth and death
"In the context of TNFalpha's role in insulin resistance, does TNFalpha signaling through TNF receptor 1 (TNFR1) lead to a decrease in intramuscular diacylglycerol accumulation in skeletal muscle?",No,PMID:17141630,Normal,Natural,Function,Human Diseases,Endocrine and metabolic disease
"In the context of apramycin biosynthesis, do the enzymes AprD4, a radical S-adenosyl-l-methionine (SAM) enzyme, and AprD3, an NADPH-dependent reductase, form a tightly bound catalytic complex that facilitates the conversion of paromamine to lividamine?",No,PMID:27120352,Normal,Natural,Interaction,Metabolism,Biosynthesis of other secondary metabolites
"In the context of bacterial virulence effectors, does NleB2 exhibit glycosylation activity against the host protein glyceraldehyde 3-phosphate dehydrogenase (GAPDH)?",No,PMID:28522607,Normal,Natural,Single,Human Diseases,Infectious disease: bacterial
"In mouse neuronal mitochondria, does the activation of mitochondrial type-1 cannabinoid receptors (mtCB(1)) by in situ endocannabinoids lead to an increase in complex I enzymatic activity?",No,PMID:22388959,Normal,Natural,Single,Organismal Systems,Nervous system
"In the context of the Arc two-component system in Escherichia coli, does the presence of aerobic conditions inhibit the kinase activity of the ArcB sensor kinase, which is responsible for autophosphorylation and transphosphorylation of the global transcriptional regulator ArcA?",Yes,PMID:15326287,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the context of Alzheimer's disease, do amyloid-beta (Abeta) oligomers induce the missorting of endogenous Tau protein from its normal axonal localization to the somatodendritic compartment in differentiated primary hippocampal neurons?",Yes,PMID:20826658,Normal,Natural,Function,Human Diseases,Neurodegenerative disease
"In the context of measles virus infection, does the expression of the measles V protein inhibit alpha interferon-induced transcriptional responses by interfering with the host's STAT protein-dependent signaling systems?",Yes,PMID:12805463,Normal,Natural,Function,Human Diseases,Infectious disease: viral
"In the context of yeast intracellular membrane traffic, are the t-SNARE proteins Tlg1p and Tlg2p required for the efficient functioning of the endocytic pathway?",Yes,PMID:9427746,Normal,Natural,Function,Genetic Information Processing,"Folding, sorting and degradation"
"In the context of Shigella flexneri infection, does the wild-type strain induce an accumulation of phosphorylated inhibitor of NF-kappaB type alpha (phospho-IkappaBalpha) in infected epithelial cells, as compared to an ospG mutant strain?",Yes,PMID:16162672,Normal,Natural,Single,Metabolism,Biosynthesis of other secondary metabolites
"In the context of regulating the surface expression and function of gamma-Aminobutyric acid type A receptors (GABA(A)Rs), is the interaction between the ubiquitin-like protein Plic-1 and GABA(A)Rs essential for maintaining the amplitudes of GABA-activated currents?",Yes,PMID:12086709,Normal,Natural,Function,Organismal Systems,Nervous system
"In the context of Sonic hedgehog (Shh) signaling, is pathway activation possible in the absence of Smurf-mediated endocytic turnover of the receptor Patched1 (Ptch1), which is necessary for its clearance from the primary cilium?",No,PMID:24925320,Normal,Natural,Function,Environmental Information Processing,Signal transduction
"In the context of the mammalian master clock's sensitivity to photic timing cues, does the presence of Dexras1 increase the capacity of pituitary adenylate cyclase (PAC) activating peptide (PACAP)/PAC1 to influence extracellular signal-regulated kinase (ERK)/mitogen-activated protein kinase (MAPK) signaling pathways during the late night phase?",No,PMID:17167088,Normal,Natural,Single,Organismal Systems,Environmental adaptation
"In the context of alpha-monoglucosyldiacylglycerol (MGlcDAG) synthesis, do the membrane-bound glucosyltransferases from Acholeplasma laidlawii (alMGS) and Streptococcus pneumoniae (spMGS) exhibit identical dependencies on the anionic phospholipid activators phosphatidylglycerol and cardiolipin?",No,PMID:11294844,Normal,Natural,Interaction,Metabolism,Lipid metabolism
"In the context of Forkhead box O (FOXO) transcription factors regulating cellular reactive oxygen species (ROS) levels, does the activation of Bim by FOXO3 lead to an increase in mitochondrial respiration in neuronal cells?",No,PMID:23801966,Normal,Natural,Function,Environmental Information Processing,Signal transduction
"In the context of measles virus (MV) infection of human monocyte-derived dendritic cells (DCs), does the activation of the CD40 receptor enhance the replication of MV within these DCs?",Yes,PMID:10756053,Normal,Natural,Function,Human Diseases,Infectious disease: viral
"In the context of Shigella infection, does the polyubiquitylation of NEMO/IKKgamma, facilitated by the bacterial effector IpaH9.8, lead to its degradation through a proteasome-dependent pathway?",Yes,PMID:20010814,Normal,Natural,Function,Metabolism,Biosynthesis of other secondary metabolites
"In the context of Salmonella enterica serovar Typhimurium infection, is the effector protein SopB necessary for the proper positioning of the Salmonella-containing vacuole (SCV) within the host cell?",Yes,PMID:18411289,Normal,Natural,Function,Human Diseases,Infectious disease: bacterial
"In the context of Shigella flexneri infection, does the bacterial protein effector OspF exhibit phosphatase activity that specifically targets and dephosphorylates mitogen-activated protein kinases (MAPKs) within the host cell nucleus?",Yes,PMID:17159983,Normal,Natural,Single,Human Diseases,Infectious disease: bacterial
"In the context of monobactam biosynthesis, does Agrobacterium radiobacter utilize cystine as a sulfur source for the production of monobactams, similar to its ability to use inorganic sulfur?",No,PMID:6859838,Normal,Natural,Function,Metabolism,Biosynthesis of other secondary metabolites
"In the context of human cytomegalovirus (HCMV) infection, does the UL33 protein facilitate the enhancement of cAMP-responsive element (CRE) activation through the Rho/p38 signaling pathway, mediated by the Gbetagamma subunit?",Yes,PMID:14522997,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of hypercholesterolaemia, does the accumulation of cholesterol in macrophages and other immune cells inhibit the activation of the inflammasome, a key component of the inflammatory response?",No,PMID:25614320,Normal,Natural,Single,Human Diseases,Cardiovascular disease
"In the context of Salmonella infection, does the effector protein SseK1, an arginine glycosyltransferase, modify the mammalian death domain containing protein FADD with N-acetyl glucosamine (GlcNAc)?",No,PMID:30902834,Normal,Natural,Single,Human Diseases,Infectious disease: bacterial
"In individuals with type 2 diabetes, does glucose-dependent insulinotropic peptide (GIP) retain its ability to modulate glucose-dependent insulin secretion, even at supraphysiological plasma levels?",No,PMID:19074620,Normal,Natural,Function,Organismal Systems,Endocrine system
"In the context of energy metabolism regulation, does the adipocyte hormone leptin have an inhibitory effect on the activity of adenosine monophosphate-activated protein kinase (AMPK) within the arcuate and paraventricular regions of the hypothalamus?",Yes,PMID:18725075,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the context of epidermal growth factor (EGF) stimulation, does the CrkII protein, when phosphorylated on tyrosine 221, exhibit binding affinity to a phosphotyrosine-containing peptide?",No,PMID:9642287,Normal,Natural,Interaction,Environmental Information Processing,Signal transduction
"In the context of yeast intracellular vesicular traffic, specifically regarding retrograde transport from the Golgi complex to the endoplasmic reticulum (ER), does the v-SNARE Sec22p co-precipitate with the ER t-SNARE Ufe1p and the ER protein Sec20p?",Yes,PMID:9214619,Normal,Natural,Interaction,Genetic Information Processing,"Folding, sorting and degradation"
"In patients with type 2 diabetes, does glucose-dependent insulinotropic polypeptide (GIP) still exhibit its normal potentiating effect on second-phase insulin secretion?",No,PMID:15271645,Normal,Natural,Function,Organismal Systems,Endocrine system
"In the context of neurodegenerative disorders, is the expression of the coactivator PGC-1alpha elevated in patients with Huntington's disease (HD) compared to healthy individuals?",No,PMID:17081970,Normal,Natural,Single,Human Diseases,Neurodegenerative disease
"In the context of Shigella infection, does the interaction between the bacterial effector IpaH9.8 and host proteins NEMO/IKKgamma and ABIN-1 lead to the ABIN-1-dependent polyubiquitylation of NEMO?",Yes,PMID:20010814,Normal,Natural,Single,Metabolism,Biosynthesis of other secondary metabolites
"In the context of Kaposi's sarcoma-associated herpesvirus (KSHV) infection, does the interaction between the KSHV-encoded latency-associated nuclear antigen (LANA) protein and the negative regulator glycogen synthase kinase 3 (GSK-3) lead to a cell-cycle-dependent nuclear accumulation of GSK-3?",Yes,PMID:14991150,Normal,Natural,Function,Human Diseases,Infectious disease: viral
"In the context of osteoclastogenesis, does the deubiquitinating enzyme CYLD positively regulate receptor activator of NF-κB (RANK) signaling by promoting tumor necrosis factor receptor-associated factor 6 (TRAF6) ubiquitination and subsequent activation of downstream signaling events?",No,PMID:18382763,Normal,Natural,Interaction,Organismal Systems,Development and regeneration
"In human mononuclear phagocytes, does infection with Leishmania donovani result in impaired gamma interferon-mediated tyrosine phosphorylation of the transcription factor Stat1?",Yes,PMID:7591091,Normal,Natural,Single,Human Diseases,Infectious disease: parasitic
"In the context of influenza A virus (IAV) infection, does the viral protein PB1-F2 inhibit the TBK1-dependent activation of an interferon-stimulated response element (ISRE) reporter plasmid?",Yes,PMID:28613140,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of herpes simplex virus type 1 (HSV-1) infection, is the sole expression of the alpha0 gene sufficient to induce the apoptotic process and trigger the cell death cascade in infected cells?",Yes,PMID:16809287,Normal,Natural,Function,Human Diseases,Infectious disease: viral
"In the context of Influenza A virus (IAV) infection, does the viral NS1 protein exert an inhibitory effect on the RIG-I-mediated activation of the noncanonical NF-kappaB signaling pathway?",Yes,PMID:22787206,Normal,Natural,Single,Metabolism,Metabolism of cofactors and vitamins
"In the highly polarized Drosophila eye, does the Fz/Dsh signalling pathway inhibit the activity of the Notch receptor specifically in the R3 photoreceptor of each ommatidium?",Yes,PMID:10028969,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the context of dienoyl-CoA metabolism in obligately anaerobic bacteria, such as Geobacter metallireducens and Syntrophus aciditrophicus, does the dienoyl-CoA hydratase enzyme exhibit significant catalytic activity with crotonyl-CoA as a substrate?",No,PMID:17122342,Normal,Natural,Interaction,Metabolism,Xenobiotics biodegradation and metabolism
"In the context of Wnt/beta-catenin signaling, does the presence of BAMBI (BMP and activin membrane-bound inhibitor) lead to a decrease in the interaction between the Wnt receptor Frizzled5 and Dishevelled2?",No,PMID:18838381,Normal,Natural,Interaction,Environmental Information Processing,Signal transduction
"In hypothalamic slices from ovariectomized female guinea pigs, does 17beta-estradiol (E2) rapidly uncouple GABA(B) receptors from G protein-gated inwardly rectifying K+ (GIRK) channels in proopiomelanocortin (POMC) neurons, as measured through whole-cell patch recording?",Yes,PMID:15862823,Normal,Natural,Interaction,Organismal Systems,Endocrine system
"In the context of nutrient regulation in the gastrointestinal tract, does the amino acid L-glutamate induce rapid G protein-coupled receptor (GPCR) internalization of the T1R1 and T1R3 taste receptors, as well as the G protein transducin?",Yes,PMID:19001049,Normal,Natural,Function,Organismal Systems,Digestive system
"In the context of bone morphogenetic protein (BMP) signaling, does the glycosylphosphatidylinositol-anchored protein DRAGON exhibit binding affinity for BMP7, a specific ligand within the BMP family?",No,PMID:15671031,Normal,Natural,Interaction,Environmental Information Processing,Signal transduction
"In the context of CSF3R (colony-stimulating factor 3 receptor) trafficking and degradation, does the deubiquitinating enzyme DUB2 enhance the ubiquitination of the CSF3R, thereby influencing its lysosomal routing and degradation?",No,PMID:21155715,Normal,Natural,Single,Environmental Information Processing,Signaling molecules and interaction
"In the context of mouse peroxisome proliferator-activated receptors (PPARs) and their activation by protein kinase A (PKA), is the presence of activation function 1 (AF-1) necessary for the enhancement of PPAR-mediated transcriptional activity?",No,PMID:11117527,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the context of macrophage activation by lipopolysaccharide (LPS), do extracellular signal-related kinase (ERK) mitogen-activated protein (MAP) kinases play a major role in promoting the generation of nitric oxide (NO) through the induction of inducible NO synthase?",No,PMID:10586030,Normal,Natural,Function,Human Diseases,Infectious disease: parasitic
"In the context of Human herpesvirus 8 (HHV-8) infection, do the viral CC/beta-chemokines, specifically vCCL-1 and vCCL-2, inhibit the expression of the proapoptotic protein Bim that is induced during the lytic cycle of the virus?",Yes,PMID:18434408,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of macrophage activation and the development of immunity to intracellular pathogens, do Leishmania-derived lipophosphoglycans suppress the production of interleukin-12 (IL-12) in macrophages by specifically stimulating the extracellular signal-related kinase (ERK) mitogen-activated protein (MAP) kinase pathway?",Yes,PMID:10586030,Normal,Natural,Single,Human Diseases,Infectious disease: parasitic
"In the context of the yeast mitogen-activated protein kinase (MAPK) pathway, does the activation of the MAPK Kss1 lead to an increase in the sumoylation of the transcription factor Tec1?",No,PMID:19826484,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the context of tetrapyrrole biosynthesis gene clusters from various Gram-positive bacteria, does the Paenibacillus macerans hem gene cluster contain a hemX gene?",No,PMID:10217486,Normal,Natural,Single,Metabolism,Metabolism of cofactors and vitamins
"In the context of Legionella pneumophila infection, does the U-box 1 domain of the Legionella U-box protein (LubX) play a crucial role in facilitating the ubiquitin ligase activity necessary for the polyubiquitination of host Clk1 (Cdc2-like kinase 1)?",Yes,PMID:18284575,Normal,Natural,Function,Human Diseases,Infectious disease: bacterial
"In the context of human 3alpha-hydroxysteroid dehydrogenase (3alpha-HSD) isoforms of the aldo-keto reductase (AKR) superfamily, does the AKR1C1 isoform possess the ability to convert 3alpha-androstanediol to the active hormone 5alpha-dihydrotestosterone (5alpha-DHT) in the oxidation direction?",No,PMID:10998348,Normal,Natural,Single,Metabolism,Lipid metabolism
"In the context of ghrelin signaling, does the accessory protein Melanocortin Receptor Accessory Protein 2 (MRAP2) function to inhibit the constitutive activity of the growth hormone secretagogue 1a (GHSR1a) receptor?",Yes,PMID:31911434,Normal,Natural,Single,Organismal Systems,Endocrine system
"In the context of Staphylococcus aureus stimulation of Toll-like receptor 2 (TLR2) in human monocytic cells, is the tyrosine phosphorylation of TLR2 a necessary step for the subsequent transcriptional activity of nuclear factor-kappa B (NF-kappa B)?",Yes,PMID:11101877,Normal,Natural,Single,Organismal Systems,Immune system
"In patients with Systemic Lupus Erythematosus (SLE), do their sera exhibit binding activity to the specific peptide region spanning amino acids 21-41 of the 60-kd Ro protein?",No,PMID:10025913,Normal,Natural,Single,Human Diseases,Immune disease
"In the context of HIV-1 infection, do the virion-associated accessory proteins Vif and Vpr have the ability to independently induce the degradation of interferon regulatory factor 3 (IRF-3) through a ubiquitination-mediated process?",Yes,PMID:18082865,Normal,Natural,Single,Metabolism,Metabolism of other amino acids
"In the context of advanced glycation end products (AGEs) and their impact on the diabetic vasculature, does the presence of AGEs inhibit the production of reactive oxygen species (ROS) in the endothelium?",No,PMID:16894049,Normal,Natural,Function,Human Diseases,Endocrine and metabolic disease
"In the context of Wnt signalling and its regulation of beta-catenin-dependent developmental processes through the Dishevelled protein (Dsh), does the Dsh-associated kinase PAR-1, a known determinant of polarity during asymmetric cell divisions, function as an activator of the Jun kinase (JNK) pathway?",No,PMID:11433294,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In human epitheloid tumor cells expressing the Hepatitis C virus nonstructural protein NS5A, does the observed increase in p21(Waf1/Cip1) protein levels occur through a mechanism that is dependent on the tumor suppressor protein p53?",Yes,PMID:11278402,Normal,Natural,Single,Human Diseases,Cancer: overview
"In the context of osteocyte-derived bone formation inhibitor sclerostin expression, does parathyroid hormone (PTH) exert a suppressive effect on the transcriptional activity of the SOST gene's distant bone enhancer in adult bone?",Yes,PMID:17696759,Normal,Natural,Single,Organismal Systems,Endocrine system
"In U2OS-hGR osteosarcoma cells, does the glucocorticoid receptor (GR)-dependent mRNA expression of ladinin 1 require the presence of both Mediator subunits MED1 and MED14 for transcriptional regulation in response to dexamethasone treatment?",Yes,PMID:16239257,Normal,Natural,Single,,
"In the context of carboxymethylproline synthase (CarB) catalysis, does acetyl coenzyme A (AcCoA) serve as a substrate for the enzyme CarB in the biosynthesis of (R)-1-carbapen-2-em-3-carboxylate?",No,PMID:14625287,Normal,Natural,Single,Metabolism,Biosynthesis of other secondary metabolites
"In the context of mitochondrial damage-induced apoptosis, does BAK-dependent mitochondrial outer membrane permeabilisation facilitate the activation of Parkin through a PINK1-dependent mechanism?",Yes,PMID:30573668,Normal,Natural,Single,Human Diseases,Neurodegenerative disease
"In the context of kisspeptin signaling in the brain, does the presence of estradiol lead to an up-regulation of Kiss1 mRNA expression in the anteroventral periventricular nucleus (AVPV) of the forebrain?",Yes,PMID:16373418,Normal,Natural,Single,Organismal Systems,Endocrine system
"In the context of human papillomavirus (HPV) 16 E6 protein expression, will there be a reduction in caspase 3 activation in response to tumor necrosis factor (TNF)-induced apoptosis?",Yes,PMID:11934887,Normal,Natural,Single,Environmental Information Processing,Signaling molecules and interaction
"In the context of ErbB receptor signaling, are ErbB2 homodimers capable of associating with and inducing the phosphorylation of the adaptor protein c-Cbl, as compared to ErbB1 homodimers, when utilizing synthetic ligand-induced dimerization to study the specific signaling properties of these receptor complexes?",No,PMID:10490623,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the context of Interleukin-17 (IL-17) signaling, is TNF receptor-associated factor 6 (TRAF6) necessary for the phosphorylation of Act1 in response to IL-17 stimulation?",Yes,PMID:22851696,Normal,Natural,Single,Organismal Systems,Immune system
